query_type	cnt	avg_ms	p95_ms	p99_ms	max_ms	first_seen	last_seen
stats_table_main_query	6487	707.7	1558.0	4390.9	21086	2026-05-18T23:13:32Z	2026-05-19T05:13:18Z
web_overview_query	2732	715.3	1713.7	4044.0	13051	2026-05-18T23:13:30Z	2026-05-19T05:13:15Z
stats_table_path_bounce_query	2043	1300.5	3022.3	6717.3	26152	2026-05-18T23:13:31Z	2026-05-19T05:13:11Z
stats_table_frustration_metrics_query	2018	649.8	1363.7	3949.8	8589	2026-05-18T23:13:35Z	2026-05-19T05:13:14Z
web_vitals_path_breakdown_query	350	281.8	533.1	1210.6	2389	2026-05-18T23:15:24Z	2026-05-19T05:13:16Z
web_goals_query	292	1160.4	3666.9	8219.6	15400	2026-05-18T23:15:28Z	2026-05-19T05:12:25Z
stats_table_query	267	954.6	1782.1	7103.3	17298	2026-05-18T23:15:06Z	2026-05-19T04:15:19Z
stats_table_entry_bounce_query	178	813.4	2379.4	5013.4	7467	2026-05-18T23:15:35Z	2026-05-19T05:09:51Z
external_clicks_query	42	1356.0	5017.5	6913.2	7748	2026-05-19T04:20:07Z	2026-05-19T05:10:17Z
