bucket	legacy_stats_table	main_q	path_bounce	frustration	entry_bounce	preagg
2026-05-18T21:00:00Z	1	31	10	11	0	0
2026-05-18T21:15:00Z	15	317	100	91	9	0
2026-05-18T21:30:00Z	14	206	71	69	7	0
2026-05-18T21:45:00Z	12	228	77	78	7	0
2026-05-18T22:00:00Z	19	361	84	80	10	0
2026-05-18T22:15:00Z	9	313	118	114	9	0
2026-05-18T22:30:00Z	23	435	88	81	13	0
2026-05-18T22:45:00Z	11	301	105	107	11	0
2026-05-18T23:00:00Z	13	293	90	95	11	0
2026-05-18T23:15:00Z	10	255	87	83	8	0
2026-05-18T23:30:00Z	11	319	127	121	3	0
2026-05-18T23:45:00Z	11	312	93	86	14	0
2026-05-19T00:00:00Z	12	361	109	105	12	0
2026-05-19T00:15:00Z	10	212	73	67	6	0
2026-05-19T00:30:00Z	13	330	109	113	8	0
2026-05-19T00:45:00Z	14	299	93	96	10	0
2026-05-19T01:00:00Z	9	245	81	79	8	0
2026-05-19T01:15:00Z	14	249	85	84	2	0
2026-05-19T01:30:00Z	15	341	86	90	9	0
2026-05-19T01:45:00Z	12	366	121	126	8	0
2026-05-19T02:00:00Z	22	296	84	85	14	0
2026-05-19T02:15:00Z	18	285	57	60	10	0
2026-05-19T02:30:00Z	13	314	96	94	7	0
2026-05-19T02:45:00Z	14	268	77	74	3	0
2026-05-19T03:00:00Z	12	262	74	72	7	0
2026-05-19T03:15:00Z	12	225	84	81	4	0
2026-05-19T03:30:00Z	13	256	76	73	6	0
2026-05-19T03:45:00Z	15	208	54	62	13	0
2026-05-19T04:00:00Z	14	278	74	71	8	0
2026-05-19T04:15:00Z	3	167	64	65	7	0
2026-05-19T04:30:00Z	0	233	88	86	4	0
2026-05-19T04:45:00Z	0	173	64	62	2	0
2026-05-19T05:00:00Z	0	220	84	81	5	0
