bucket	over_10s	between_5_10s	total	p95_ms
2026-05-18T20:30:00Z	0	2	39	4805.0
2026-05-18T21:00:00Z	1	2	190	2250.0
2026-05-18T21:30:00Z	0	0	148	1370.0
2026-05-18T22:00:00Z	0	1	202	2325.0
2026-05-18T22:30:00Z	0	0	193	1596.0
2026-05-18T23:00:00Z	0	3	177	2850.0
2026-05-18T23:30:00Z	1	4	220	2352.0
2026-05-19T00:00:00Z	0	1	182	1750.0
2026-05-19T00:30:00Z	0	4	202	3432.0
2026-05-19T01:00:00Z	0	2	166	3304.0
2026-05-19T01:30:00Z	0	1	207	2299.0
2026-05-19T02:00:00Z	3	5	141	5485.0
2026-05-19T02:30:00Z	0	1	173	2264.0
2026-05-19T03:00:00Z	0	0	158	1683.0
2026-05-19T03:30:00Z	0	4	130	4136.0
2026-05-19T04:00:00Z	3	5	138	5391.0
2026-05-19T04:30:00Z	0	0	152	2110.0
2026-05-19T05:00:00Z	0	2	169	2441.0
2026-05-19T05:30:00Z	0	3	164	1903.0
2026-05-19T06:00:00Z	0	0	173	1530.0
2026-05-19T06:30:00Z	0	0	125	1524.0
