bucket	cnt	avg_ms	p95_ms
2026-05-18T18:30:00Z	14	823.0	1413.0
2026-05-18T19:00:00Z	52	992.0	2023.0
2026-05-18T19:30:00Z	53	1038.0	2322.0
2026-05-18T20:00:00Z	42	901.0	2188.0
2026-05-18T20:30:00Z	43	1189.0	3200.0
2026-05-18T21:00:00Z	22	1294.0	3572.0
2026-05-18T21:30:00Z	15	878.0	2221.0
2026-05-18T22:00:00Z	20	798.0	1515.0
2026-05-18T22:30:00Z	21	675.0	913.0
2026-05-18T23:00:00Z	31	887.0	1448.0
2026-05-18T23:30:00Z	28	1556.0	5587.0
2026-05-19T00:00:00Z	20	690.0	1073.0
2026-05-19T00:30:00Z	22	923.0	2054.0
2026-05-19T01:00:00Z	13	2924.0	8754.0
2026-05-19T01:30:00Z	31	768.0	1256.0
2026-05-19T02:00:00Z	19	2476.0	6553.0
2026-05-19T02:30:00Z	33	1143.0	1510.0
2026-05-19T03:00:00Z	12	616.0	761.0
2026-05-19T03:30:00Z	10	727.0	1333.0
2026-05-19T04:00:00Z	29	1355.0	4832.0
2026-05-19T04:30:00Z	49	763.0	987.0
2026-05-19T05:00:00Z	28	849.0	1479.0
2026-05-19T05:30:00Z	28	815.0	1924.0
2026-05-19T06:00:00Z	36	813.0	1891.0
2026-05-19T06:30:00Z	27	725.0	833.0
