team_id	slow_bucket_cnt	slow_bucket_over_5s	calm_bucket_cnt	slow_bucket_avg_ms	slow_bucket_p95_ms
21405	6	4	0	4977.0	7863.0
298634	6	2	0	4416.0	12852.0
227169	2	2	0	5990.0	6445.0
293278	2	2	0	8409.0	10238.0
249533	7	1	0	2673.0	10317.0
277326	2	1	0	5432.0	7696.0
301597	2	1	0	3764.0	5734.0
317027	2	1	2	8580.0	12502.0
202300	1	1	0	6613.0	6613.0
423348	1	1	0	10111.0	10111.0
364243	1	1	0	8397.0	8397.0
423587	1	1	0	5292.0	5292.0
426626	1	1	1	6199.0	6199.0
398877	1	1	0	7566.0	7566.0
245952	1	1	0	26152.0	26152.0
