query_type	query_duration_ms	read_rows	event_time
external_clicks_query	693	1178401	2026-05-19T13:15:20Z
external_clicks_query	821	1246351	2026-05-19T13:15:13Z
external_clicks_query	734	1443377	2026-05-19T13:15:08Z
external_clicks_query	752	1431061	2026-05-19T13:10:20Z
external_clicks_query	1150	1305114	2026-05-19T13:10:14Z
external_clicks_query	1720	1295371	2026-05-19T13:10:08Z
external_clicks_query	869	1055027	2026-05-19T13:05:21Z
external_clicks_query	696	1139108	2026-05-19T13:05:14Z
external_clicks_query	730	1055309	2026-05-19T13:05:09Z
external_clicks_query	799	1336498	2026-05-19T13:00:38Z
external_clicks_query	697	1273319	2026-05-19T13:00:32Z
external_clicks_query	834	1092983	2026-05-19T13:00:27Z
external_clicks_query	561	1104847	2026-05-19T12:55:19Z
external_clicks_query	670	1113841	2026-05-19T12:55:12Z
external_clicks_query	668	1137897	2026-05-19T12:55:07Z
external_clicks_query	967	1091305	2026-05-19T12:50:28Z
external_clicks_query	985	1052879	2026-05-19T12:50:20Z
external_clicks_query	768	1030468	2026-05-19T12:50:14Z
external_clicks_query	669	992486	2026-05-19T12:45:18Z
external_clicks_query	642	959516	2026-05-19T12:45:11Z
external_clicks_query	782	994029	2026-05-19T12:45:06Z
external_clicks_query	622	1104387	2026-05-19T12:40:19Z
external_clicks_query	661	1109976	2026-05-19T12:40:12Z
external_clicks_query	614	1112556	2026-05-19T12:40:07Z
external_clicks_query	722	1190326	2026-05-19T12:35:17Z
external_clicks_query	799	1053297	2026-05-19T12:35:11Z
external_clicks_query	769	1105888	2026-05-19T12:35:05Z
external_clicks_query	723	1039428	2026-05-19T12:30:18Z
external_clicks_query	800	1072208	2026-05-19T12:30:12Z
external_clicks_query	1274	1088124	2026-05-19T12:30:07Z
